Date,Open,High,Low,Close,Volume
28-Feb-19,792,804,792,804,81
27-Feb-19,786,802,786,798,35
26-Feb-19,800,800,790,800,24
25-Feb-19,796,800,784,796,64
22-Feb-19,792,798,782,796,265
21-Feb-19,782,788,780,788,7
20-Feb-19,790,796,790,794,41
19-Feb-19,796,796,786,792,11
18-Feb-19,790,796,782,794,119
15-Feb-19,798,798,792,798,3
14-Feb-19,798,798,786,792,80
13-Feb-19,790,806,790,806,191
12-Feb-19,786,796,786,796,143
11-Feb-19,778,786,778,786,72
08-Feb-19,778,784,778,782,16
07-Feb-19,784,786,778,786,66
06-Feb-19,778,782,778,782,14
05-Feb-19,788,788,778,780,82
04-Feb-19,788,788,784,784,2
01-Feb-19,778,790,776,790,88
