Date,Open,High,Low,Close,Volume
28-Feb-19,162.37,163.5,160.86,161.45,11114200
27-Feb-19,162.9,163.93,160.41,162.81,12697500
26-Feb-19,164.34,166.24,163.8,164.13,13784100
25-Feb-19,163.07,166.07,162.9,164.62,18737100
22-Feb-19,160.58,162.41,160.31,161.89,15858500
21-Feb-19,161.93,162.24,159.59,160.04,15607800
20-Feb-19,162.25,163.72,161.25,162.56,11770700
19-Feb-19,160.5,164.15,160.33,162.29,14345400
18-Feb-19,164.51,164.7,160.86,162.5,15504400
15-Feb-19,163.19,164.87,162.25,163.95,12755200
14-Feb-19,165.38,166.22,163.73,164.07,14205100
12-Feb-19,166.86,168.34,164.5,165.04,16292300
11-Feb-19,167.9,168.3,165.08,165.79,12811200
08-Feb-19,164.47,167.37,164.21,167.33,12561400
07-Feb-19,168.2,169.24,165.25,166.38,17517600
06-Feb-19,171.2,172.47,169.27,170.49,13281200
05-Feb-19,169.15,171.98,168.69,171.16,22557000
04-Feb-19,165.7,169.3,163.62,169.25,20036000
01-Feb-19,165.84,169.1,165.66,165.71,30806500
