Date,Open,High,Low,Close,Volume
27-Feb-19,1106.95,1117.98,1101,1116.05,968400
26-Feb-19,1105.75,1119.51,1099.92,1115.13,1471300
25-Feb-19,1116,1118.54,1107.27,1109.4,1413100
22-Feb-19,1100.9,1111.24,1095.6,1110.37,1049500
21-Feb-19,1110.84,1111.94,1092.52,1096.97,1415100
20-Feb-19,1119.99,1123.41,1105.28,1113.8,1087800
19-Feb-19,1110,1121.89,1110,1118.56,1046400
15-Feb-19,1130.08,1131.67,1110.65,1113.65,1449800
14-Feb-19,1118.05,1128.23,1110.44,1121.67,947600
13-Feb-19,1124.99,1134.73,1118.5,1120.16,1049800
12-Feb-19,1106.8,1125.3,1105.85,1121.37,1609100
11-Feb-19,1096.95,1105.94,1092.86,1095.01,1065200
08-Feb-19,1087,1098.91,1086.55,1095.06,1075800
07-Feb-19,1104.16,1104.84,1086,1098.71,2044800
06-Feb-19,1139.57,1147,1112.77,1115.23,2105600
05-Feb-19,1124.84,1146.85,1117.25,1145.99,3552200
04-Feb-19,1112.66,1132.8,1109.02,1132.8,2576500
01-Feb-19,1112.4,1125,1104.89,1110.75,1462200
