Date,Open,High,Low,Close,Volume
27-Feb-19,654.5,662,647.15,656.15,3193418
26-Feb-19,644.8,656,640,651.3,3862642
25-Feb-19,649.9,653.95,642.3,650.7,1863303
22-Feb-19,635,648.6,632.25,646.6,4053346
21-Feb-19,633.55,635.95,625,634.2,2813880
20-Feb-19,637,637.3,628.15,633.55,2369483
19-Feb-19,627,642,625.25,632.6,3526711
18-Feb-19,630,630,615.6,624.7,4750172
15-Feb-19,635,636.9,618.8,627.55,5765467
14-Feb-19,640.7,642.4,632.3,634.4,3530468
12-Feb-19,647,657.8,644,648.7,3357448
11-Feb-19,669.4,673.4,645.2,647.55,7931599
08-Feb-19,702,706.7,678.55,682.1,10858152
07-Feb-19,695,708.9,693.1,700.9,2710457
06-Feb-19,687.9,698.25,682.05,695.1,2221744
05-Feb-19,675.25,692.6,672.65,684.9,3550741
04-Feb-19,688,688.4,670.35,674.45,2652101
01-Feb-19,689,715.4,680.55,688.4,8005192
