Date,Open,High,Low,Close*,Volume
28-Feb-19,52.92,53.18,52.81,52.96,18388800
27-Feb-19,52.76,53.38,52.51,53.24,17590300
26-Feb-19,53.01,53.37,52.91,53.23,16082200
25-Feb-19,53.06,53.61,52.86,53.1,20711800
22-Feb-19,52.7,52.98,52.06,52.49,31934100
21-Feb-19,51.32,51.84,51.21,51.41,16162100
20-Feb-19,51.63,51.73,51.06,51.39,21607700
19-Feb-19,51.35,51.71,51.34,51.4,15611800
15-Feb-19,51.25,51.67,51.09,51.66,22520400
14-Feb-19,50.41,51.04,50.35,50.81,17545400
13-Feb-19,50.13,50.81,50,50.47,17712800
12-Feb-19,49.36,50.14,49.27,50.01,18050100
11-Feb-19,49.02,49.32,48.58,48.77,18004100
08-Feb-19,48.77,49.02,48.01,48.84,18851200
07-Feb-19,49.5,49.85,48.68,49.23,27825900
06-Feb-19,49.95,50.64,49.82,49.9,21647800
05-Feb-19,49.18,50.72,49.18,50.01,31641600
04-Feb-19,48.62,49.24,48.24,49.22,20905000
01-Feb-19,47.06,49.05,47.01,48.73,37442900
