Date,Open,High,Low,Close,Volume
27-Feb-19,111.69,112.36,110.88,112.17,21487100
26-Feb-19,111.26,113.24,111.17,112.36,21536700
25-Feb-19,111.76,112.18,111.26,111.59,23750600
22-Feb-19,110.05,111.2,109.82,110.97,27763200
21-Feb-19,106.9,109.48,106.87,109.41,29063200
20-Feb-19,107.86,107.94,106.29,107.15,21607700
19-Feb-19,107.79,108.66,107.78,108.17,18038500
15-Feb-19,107.91,108.3,107.36,108.22,26606900
14-Feb-19,106.31,107.29,105.66,106.9,21784700
13-Feb-19,107.5,107.78,106.71,106.81,18394900
12-Feb-19,106.14,107.14,105.48,106.89,25056600
11-Feb-19,106.2,106.58,104.97,105.25,18914100
08-Feb-19,104.39,105.78,104.26,105.67,21461100
07-Feb-19,105.19,105.59,104.29,105.27,29760700
06-Feb-19,107,107,105.53,106.03,20609800
05-Feb-19,106.06,107.27,105.96,107.22,27325400
04-Feb-19,102.87,105.8,102.77,105.74,31315100
01-Feb-19,103.78,104.1,102.35,102.78,35535700
