Date,Open,High,Low,Close,Volume
28-Feb-19,48.21,48.24,47.92,47.99,800900
27-Feb-19,48.36,48.48,48.14,48.43,866400
26-Feb-19,48.17,48.36,47.98,48.19,1305700
25-Feb-19,48.55,48.74,48.39,48.46,996800
22-Feb-19,47.9,48.15,47.78,47.89,1189600
21-Feb-19,47.85,48.05,47.44,47.64,2215000
20-Feb-19,47.45,47.5,46.65,46.88,2226800
19-Feb-19,46.22,46.49,46.12,46.22,1662900
18-Feb-19,45.55,46.05,45.52,45.79,1445400
15-Feb-19,45,45.41,44.94,45.12,730100
14-Feb-19,44.53,45.34,44.48,45.06,1470200
12-Feb-19,44.03,44.49,44.03,44.28,1154100
11-Feb-19,44.51,44.71,44.2,44.59,2044900
08-Feb-19,44.4,44.5	43.67,44.29,2078500
07-Feb-19,42.93,43.15,42.43,43.06,3049100
06-Feb-19,44.49,44.67,43.98,4.22,2822500
05-Feb-19,46.2,46.22,45.76,45.86,1609500
04-Feb-19,45.89,46.42,45.81,46.29,1977200
